Name,street_address,city,state,zip_code,post_code,latitude,longitude,green
Extended Stay America Orange County Anaheim Convention Center,1742 S Clementine St,Anaheim,California,92802,92802-2902,33.8047821,-117.9087433,0
Clarion Hotel Anaheim Resort,616 W Convention Way,Anaheim,California,92802,92802-3401,33.7991527,-117.9163006,0
Motel 6 Anaheim Maingate,100 W Disney Way,Anaheim,California,92802,92802-2900,33.8056738,-117.907613,0
Residence Inn Anaheim Maingate,1700 S Clementine St,Anaheim,California,92802,92802-2902,33.8060092,-117.9091117,0
Quality Inn & Suites Anaheim @ The Park,1166 W Katella Ave,Anaheim,California,92802,92802-2805,33.8027062,-117.9264105,0
Quality Inn & Suites Anaheim Resort,1441 S Manchester Ave,Anaheim,California,92802,92802-2905,33.8117694,-117.9123359,0
Grand Legacy @ The Park,1650 S Harbor Blvd,Anaheim,California,92802,92802-2314,33.8076069,-117.9149118,0
Super 8 Anaheim Disneyland Drive,915 S Disneyland Dr,Anaheim,California,92802,92802-1842,33.819178,-117.923204,0
Travelodge Anaheim,1057 W Ball Rd,Anaheim,California,92802,92802-1841,33.8182442,-117.9230684,0
Hampton Inn Suites Los Angeles Sherman Oaks,5638 Sepulveda Blvd,Los Angeles,California,91411,91411-2928,34.1734086,-118.4657122,0
Best Western Plus Hollywood Hills Hotel,6141 Franklin Ave,Los Angeles,California,90028,90028-5205,34.1054395,-118.3236787,0
Holiday Inn Express & Suites Hollywood Walk Of Fame,1921 North Highland Avenue,Los Angeles,California,90068,90068-3236,34.1060203,-118.3380219,0
The Orlando Hotel,8384 W 3rd St,Los Angeles,California,90048,90048-4311,34.0727833,-118.3729511,0
Econo Lodge Long Beach,3624 E Pacific Coast Hwy,Long Beach,California,90804,90804-2015,33.7894881,-118.1494569,0
La Quinta Inns & Suites Anaheim,1752 S Clementine St,Anaheim,California,92802,92802-2902,33.804442,-117.9094757,0
Anaheim Del Sol Inn,1604 S Harbor Blvd,Anaheim,California,92802,92802-2314,33.8084224,-117.9136638,0
Best Western Courtesy Inn,1070 West Ball Road,Anaheim,California,92802,92802-1804,33.8176566,-117.9234814,0
Anaheim Majestic Garden Hotel,900 South Disneyland Drive,Anaheim,California,92802,92802-1844,33.8193494,-117.9211632,0
Comfort Inn & Suites Anaheim,300 E Katella Way,Anaheim,California,92802,92802-3714,33.8024277,-117.9044855,0
Hilton Anaheim,777 W Convention Way,Anaheim,California,92802,92802-3425,33.8000919,-117.9183929,0
Holiday Inn Anaheim Resort Area,1915 S Manchester Ave,Anaheim,California,92802,92802-3802,33.800291,-117.9009885,0
Best Western Plus Raffles Inn & Suites,2040 S Harbor Blvd,Anaheim,California,92802,92802-3514,33.7973473,-117.9141443,0
Disney's Paradise Pier Hotel,1717 S Disneyland Dr,Anaheim,California,92802,92802-2308,33.8063709,-117.9244035,0
